hsa:440034	DKFZp686K1684; uncharacterized LOC440034
hsa:100128882	uncharacterized LOC100128882
hsa:102724588	uncharacterized LOC102724588
hsa:102724669	uncharacterized LOC102724669
hsa:101927863	uncharacterized LOC101927863
hsa:102724709	fibroin heavy chain-like
hsa:101927910	keratin-associated protein 5-5-like
hsa:100133182	uncharacterized LOC100133182
hsa:101927999	putative uncharacterized protein encoded by LINC00174-like
hsa:729887	uncharacterized LOC729887
hsa:102723777	putative uncharacterized protein FLJ44672-like
hsa:101929070	mucin-19-like
hsa:101927754	retinitis pigmentosa 1-like 1 protein-like
hsa:101928019	uncharacterized LOC101928019
hsa:101928044	zinc finger CCHC domain-containing protein 9-like
hsa:101928083	collagen alpha-1(I) chain-like
hsa:102724287	uncharacterized LOC102724287
hsa:102724483	uncharacterized LOC102724483
hsa:101928787	uncharacterized LOC101928787
hsa:102724624	uncharacterized LOC102724624
hsa:100996813	uncharacterized LOC100996813
hsa:100996294	uncharacterized LOC100996294
hsa:101929141	coiled-coil domain-containing protein 144B-like
hsa:102723754	uncharacterized LOC102723754
hsa:101927037	uncharacterized LOC101927037
hsa:102724625	uncharacterized LOC102724625
hsa:102724697	uncharacterized LOC102724697
hsa:102724956	uncharacterized LOC102724956
hsa:102723399	uncharacterized LOC102723399
hsa:102723414	uncharacterized LOC102723414
hsa:102723595	uncharacterized LOC102723595
hsa:102723608	uncharacterized LOC102723608
hsa:102723719	uncharacterized LOC102723719
hsa:102723732	uncharacterized LOC102723732
hsa:102723819	uncharacterized LOC102723819
hsa:102723836	uncharacterized LOC102723836
hsa:102723851	uncharacterized LOC102723851
hsa:102723933	uncharacterized LOC102723933
hsa:102723943	uncharacterized LOC102723943
hsa:101929513	uncharacterized LOC101929513
hsa:102724038	uncharacterized LOC102724038
hsa:101929578	transcription factor CP2-like
hsa:102724129	uncharacterized LOC102724129
hsa:100507656	uncharacterized LOC100507656
hsa:101929767	RP11-242D8.1; uncharacterized LOC101929767
hsa:102724345	ADP-ribosylation factor-like 17A pseudogene
hsa:102724375	uncharacterized LOC102724375
hsa:102724454	uncharacterized LOC102724454
hsa:102724556	uncharacterized LOC102724556
hsa:101927253	uncharacterized LOC101927253
hsa:645460	FLJ44342; uncharacterized LOC645460, transcript variant X1
hsa:101927941	uncharacterized LOC101927941
hsa:100130520	CD300c molecule-like
hsa:100996273	uncharacterized LOC100996273
hsa:102723805	uncharacterized LOC102723805
hsa:102723900	uncharacterized LOC102723900
hsa:100129503	PP13; uncharacterized LOC100129503
hsa:101928947	uncharacterized LOC101928947
hsa:101929078	myb-related transcription factor, partner of profilin-like
hsa:101929185	alanine and glycine-rich protein-like
hsa:102724272	uncharacterized LOC102724272
hsa:102724296	uncharacterized LOC102724296
hsa:102724315	uncharacterized LOC102724315
hsa:102723913	uncharacterized LOC102723913
hsa:100505909	uncharacterized LOC100505909
hsa:102724119	uncharacterized LOC102724119
hsa:102724130	uncharacterized LOC102724130
hsa:101927323	PPP4R1-AS1, RP11-692N5.1; PPP4R1 antisense RNA 1
hsa:101927376	uncharacterized LOC101927376
hsa:102724470	uncharacterized LOC102724470
hsa:102724676	uncharacterized LOC102724676
hsa:102724693	zinc finger protein 718-like
hsa:102724716	serine/arginine repetitive matrix protein 3-like
hsa:100289533	uncharacterized LOC100289533
hsa:101927943	uncharacterized LOC101927943
hsa:102724806	uncharacterized LOC102724806
hsa:101927537	uncharacterized LOC101927537
hsa:101927807	uncharacterized LOC101927807
hsa:102723402	uncharacterized LOC102723402
hsa:100996274	fibroin heavy chain-like
hsa:101928344	protein GVQW1-like
hsa:102723798	uncharacterized LOC102723798
hsa:102723811	uncharacterized LOC102723811
hsa:101928602	uncharacterized LOC101928602
hsa:390877	adenylate kinase isoenzyme 5-like; K00939 adenylate kinase [EC:2.7.4.3]
hsa:729458	methyl-CpG-binding domain protein 3-like 2-like
hsa:100996405	uncharacterized LOC100996405
hsa:101060181	zinc finger protein ZnFP12-like
hsa:648044	guanine nucleotide binding protein (G protein), gamma 12-like; K04347 guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-12
hsa:102724226	uncharacterized LOC102724226
hsa:102724308	uncharacterized LOC102724308
hsa:102724325	uncharacterized LOC102724325
hsa:101929060	uncharacterized LOC101929060
hsa:101929097	uncharacterized LOC101929097
hsa:101929300	uncharacterized LOC101929300
hsa:101929206	zinc finger protein 254-like
hsa:101927232	uncharacterized LOC101927232
hsa:102723379	uncharacterized LOC102723379
hsa:102723450	uncharacterized LOC102723450
hsa:102723513	ZNF30-AS1; ZNF30 antisense RNA 1
hsa:102723569	uncharacterized protein LOC102723569 isoform X1
hsa:390937	Ets2 repressor factor-like
hsa:102723962	uncharacterized LOC102723962
hsa:101928432	uncharacterized LOC101928432
hsa:102724105	ZNF528-AS1; ZNF528 antisense RNA 1
hsa:102724300	uncharacterized LOC102724300
hsa:102724538	uncharacterized LOC102724538
hsa:102724559	uncharacterized LOC102724559
hsa:100506634	hepatocellular carcinoma-associated antigen HCA25a
hsa:101929327	tudor domain-containing protein 12-like; K18409 ATP-dependent RNA helicase TDRD12 [EC:3.6.4.13]
hsa:101929393	uncharacterized LOC101929393
hsa:390956	peptidyl-prolyl cis-trans isomerase A-like
hsa:101929818	putative killer cell immunoglobulin-like receptor-like protein KIR3DX1-like
hsa:102724500	uncharacterized LOC102724500
hsa:102724905	uncharacterized LOC102724905
hsa:102723352	uncharacterized LOC102723352
hsa:101928102	putative uncharacterized protein LOC401522-like
hsa:102723541	uncharacterized LOC102723541
hsa:102723552	ankyrin repeat domain-containing protein 20A3-like
hsa:102723636	zinc finger protein 285-like
hsa:100996602	uncharacterized LOC100996602
hsa:102723774	uncharacterized LOC102723774
hsa:100505771	uncharacterized LOC100505771
hsa:101928282	uncharacterized LOC101928282
hsa:101928356	uncharacterized LOC101928356
hsa:102724184	DNA (cytosine-5)-methyltransferase 3-like
hsa:102724200	trafficking protein particle complex subunit 10-like
hsa:102724219	uncharacterized LOC102724219
hsa:102724334	histone H2B type F-S-like
hsa:102724370	uncharacterized LOC102724370
hsa:102724441	uncharacterized LOC102724441
hsa:102724560	cystathionine beta-synthase-like; K01697 cystathionine beta-synthase [EC:4.2.1.22]
hsa:102724583	uncharacterized LOC102724583
hsa:102724594	splicing factor U2AF 35 kDa subunit-like; K12836 splicing factor U2AF 35 kDa subunit
hsa:102724636	uncharacterized LOC102724636
hsa:102724652	alpha-crystallin A chain-like; K09541 crystallin, alpha A
hsa:101927669	uncharacterized LOC101927669
hsa:102724843	uncharacterized LOC102724843
hsa:102724951	uncharacterized LOC102724951
hsa:102723360	uncharacterized LOC102723360
hsa:102723475	potassium voltage-gated channel subfamily E member 1-like
hsa:102723570	cell division cycle protein 27 homolog
hsa:102723584	cell division cycle protein 27 homolog
hsa:102723603	cell division cycle protein 27 homolog
hsa:101927615	uncharacterized LOC101927615
hsa:101930100	uncharacterized LOC101930100
hsa:101927345	uncharacterized LOC101927345
hsa:441956	uncharacterized LOC441956
hsa:100996571	CYYR1-AS1; cysteine/tyrosine-rich 1 antisense RNA 1
hsa:101928182	uncharacterized LOC101928182
hsa:388820	uncharacterized LOC388820
hsa:102724584	uncharacterized LOC102724584
hsa:102724619	uncharacterized LOC102724619
hsa:101928311	uncharacterized LOC101928311
hsa:102723371	uncharacterized LOC102723371
hsa:101928533	putative proline-rich protein 21-like
hsa:102723489	LINC00205, C21orf86, NCRNA00205; long intergenic non-protein coding RNA 205
hsa:102723554	uncharacterized LOC102723554
hsa:102723612	uncharacterized LOC102723612
hsa:102723734	uncharacterized LOC102723734
hsa:101929396	pinin-like
hsa:101929674	protein piccolo-like
hsa:102723957	adhesive plaque matrix protein-like
hsa:100996415	uncharacterized LOC100996415
hsa:102724107	putative uncharacterized protein LOC388882-like
hsa:100996401	transmembrane protein 191B-like
hsa:101928824	uncharacterized LOC101928824
hsa:102724405	immunoglobulin superfamily member 3-like
hsa:100996335	high mobility group nucleosome-binding domain-containing protein 5-like
hsa:100996337	transmembrane protein 191B-like
hsa:102724695	uncharacterized LOC102724695
hsa:102724741	uncharacterized LOC102724741
hsa:100652901	uncharacterized LOC100652901
hsa:101929728	uncharacterized LOC101929728
hsa:101927035	RP1-63G5.5; uncharacterized LOC101927035
hsa:101927119	uncharacterized LOC101927119
hsa:101927183	uncharacterized LOC101927183
hsa:101927279	EP300-AS1; EP300 antisense RNA 1
hsa:102723722	uncharacterized LOC102723722
hsa:101927372	uncharacterized LOC101927372
hsa:102723940	uncharacterized LOC102723940
hsa:101927551	RP4-753M9.1; uncharacterized LOC101927551
hsa:100996598	uncharacterized LOC100996598
hsa:642643	uncharacterized LOC642643
hsa:102724123	immunoglobulin superfamily member 3-like
hsa:101927859	uncharacterized LOC101927859
hsa:101928891	uncharacterized LOC101928891
hsa:102724336	low-density lipoprotein receptor-related protein 5-like
hsa:101928892	spermidine/spermine N(1)-acetyltransferase-like protein 1-like
hsa:102724681	uncharacterized LOC102724681
hsa:101928070	uncharacterized LOC101928070
hsa:102724124	uncharacterized LOC102724124
hsa:101928415	uncharacterized LOC101928415
hsa:102724166	uncharacterized LOC102724166
hsa:441528	uncharacterized LOC441528
hsa:729162	zinc finger protein 839-like
hsa:101928761	dr1-associated corepressor homolog
hsa:101927476	RP11-320G24.1; uncharacterized LOC101927476
hsa:102724413	uncharacterized LOC102724413
hsa:401589	uncharacterized LOC401589
hsa:102723491	uncharacterized LOC102723491
hsa:101928692	uncharacterized LOC101928692
hsa:101059915	putative uncharacterized protein CXorf49-like
hsa:101928345	PABPC1L2B-AS1, RP11-493K23.4; PABPC1L2B antisense RNA 1 (head to head)
hsa:102724150	uncharacterized LOC102724150
hsa:102724239	uncharacterized LOC102724239
hsa:102724311	uncharacterized LOC102724311
hsa:101060236	developmental pluripotency associated 3 pseudogene
hsa:101928358	uncharacterized LOC101928358
hsa:101928589	uncharacterized LOC101928589
hsa:101928287	LINC01285, RP4-562J12.2; long intergenic non-protein coding RNA 1285
hsa:102723431	uncharacterized LOC102723431
hsa:101928426	basic salivary proline-rich protein 2-like
hsa:101928549	uncharacterized LOC101928549
hsa:340581	RP3-473B4.3; uncharacterized LOC340581
hsa:101928747	uncharacterized LOC101928747
hsa:101928833	uncharacterized LOC101928833
hsa:101928941	uncharacterized LOC101928941
hsa:102723952	ubiquitin-conjugating enzyme E2 variant 1-like
hsa:644717	SAGE2P; sarcoma antigen 2, pseudogene
hsa:101928863	uncharacterized LOC101928863
hsa:101928917	heat shock transcription factor, X-linked-like
hsa:101927685	heat shock transcription factor, X-linked-like
hsa:102723547	CSAG2, CSAG3B, CT24.2, TRAG-3, TRAG3; CSAG family, member 2
hsa:100996465	putative lung carcinoma-associated protein 10-like
hsa:101060233	medium-wave-sensitive opsin 1-like; K04251 long/medium wavelength-sensitive opsin
hsa:101927918	serine/threonine-protein kinase Nek4-like
hsa:102724521	uncharacterized LOC102724521
hsa:102724575	collagen alpha-1(III) chain-like
hsa:101927008	uncharacterized LOC101927008
hsa:101928634	uncharacterized LOC101928634
hsa:102724004	uncharacterized LOC102724004
hsa:101060632	uncharacterized LOC101060632
hsa:102724503	adhesive plaque matrix protein-like
hsa:102724562	hepatocyte growth factor-like protein-like
hsa:102724645	uncharacterized LOC102724645
hsa:101928669	uncharacterized LOC101928669
hsa:101928695	uncharacterized LOC101928695
hsa:101059949	ankyrin repeat domain-containing protein 20A2-like
hsa:102724703	uncharacterized LOC102724703
hsa:102724828	39S ribosomal protein L23, mitochondrial-like; K02892 large subunit ribosomal protein L23
hsa:102724852	mir-675; spidroin-1-like
hsa:100287823	double homeobox protein 4-like protein 4-like
hsa:101926992	uncharacterized LOC101926992
hsa:102723407	putative V-set and immunoglobulin domain-containing-like protein IGHV4OR15-8-like
hsa:102723461	uncharacterized LOC102723461
hsa:102723502	POTE ankyrin domain family member B-like
hsa:102723532	olfactory receptor 4N4-like; K04257 olfactory receptor
hsa:102723655	TP53-target gene 3 protein-like
hsa:102723713	TP53-target gene 3 protein-like
hsa:102723771	E3 ubiquitin-protein ligase HERC2-like
hsa:102723841	uncharacterized LOC102723841
hsa:102723890	uncharacterized LOC102723890
hsa:102723912	sodium/hydrogen exchanger 9B1-like
hsa:102724014	spidroin-1-like
hsa:102724151	putative POM121-like protein 1-like
hsa:102724197	gamma-glutamyltranspeptidase 2-like
hsa:102724464	putative uncharacterized protein LOC388882-like
hsa:729461	AC011718.2; uncharacterized LOC729461
hsa:102724621	cell division cycle protein 27 homolog
hsa:102724713	uncharacterized LOC102724713
hsa:102724728	putative POM121-like protein 1-like
hsa:102724751	putative BCR-like protein 1-like
hsa:102724770	protein DGCR6-like
hsa:102724788	proline dehydrogenase 1, mitochondrial-like; K00318 proline dehydrogenase [EC:1.5.-.-]
hsa:102724844	uncharacterized LOC102724844
hsa:102724865	transcription factor E2F6-like
hsa:100507395	uncharacterized LOC100507395
hsa:101928318	UPF0329 protein ECU05_1680/ECU11_0050-like
hsa:102723443	genetic suppressor element 1-like
hsa:101928428	RNA-binding protein 25-like
hsa:102723515	gelsolin-related protein of 125 kDa-like
hsa:100505874	uncharacterized LOC100505874
hsa:101927555	uncharacterized LOC101927555
hsa:102723347	uncharacterized LOC102723347
hsa:102723433	DNA-directed RNA polymerase II subunit RPB1-like
hsa:101929824	uncharacterized LOC101929824, transcript variant X2
hsa:102723580	putative uncharacterized protein FLJ44672-like
hsa:101929819	putative uncharacterized protein encoded by LINC00174-like
hsa:101060216	putative uncharacterized protein FLJ44672-like
hsa:100996316	uncharacterized LOC100996316
hsa:102723799	putative uncharacterized protein FLJ00310-like
hsa:102723822	nucleolar GTP-binding protein 1-like
hsa:102723847	uncharacterized LOC102723847
hsa:100289026	putative uncharacterized protein FLJ00310-like
hsa:102723891	uncharacterized LOC102723891
hsa:102723908	uncharacterized LOC102723908
hsa:101927088	uncharacterized LOC101927088
hsa:100510710	glucosylceramidase-like
hsa:102724983	uncharacterized LOC102724983
hsa:102724988	hormone receptor 4-like
hsa:101927097	uncharacterized LOC101927097
hsa:101929773	UDP-glucuronosyltransferase 2B10-like
hsa:100653061	beta-glucuronidase-like protein SMA4-like
hsa:102724994	putative POM121-like protein 1-like
hsa:102724995	putative POM121-like protein 1-like
hsa:102724996	uncharacterized LOC102724996
hsa:101929802	uncharacterized LOC101929802
hsa:102725001	ankyrin repeat domain-containing protein 20A3-like
hsa:102724977	uncharacterized LOC102724977
hsa:339010	POTE ankyrin domain family member B isoform X1
hsa:101929832	uncharacterized LOC101929832
hsa:102724979	uncharacterized LOC102724979
hsa:102724986	uncharacterized LOC102724986
hsa:102724984	uncharacterized LOC102724984
hsa:102724985	pyridoxal-dependent decarboxylase domain-containing protein 1-like
hsa:102724992	uncharacterized LOC102724992
hsa:102724993	nuclear pore complex-interacting protein family member A1-like
hsa:101060373	uncharacterized LOC101060373
hsa:100653057	liver carboxylesterase 1-like
hsa:102725006	uncharacterized LOC102725006
hsa:102725007	uncharacterized LOC102725007
hsa:101929823	uncharacterized LOC101929823
hsa:101929828	uncharacterized LOC101929828
hsa:102724980	uncharacterized LOC102724980
hsa:102724981	RNA-binding protein 6-like
hsa:102724990	proteoglycan 4-like
hsa:100653049	keratin, type I cuticular Ha4-like; K07604 type I keratin, acidic
hsa:101929774	uncharacterized LOC101929774
hsa:102724982	uncharacterized LOC102724982
hsa:100996709	ADP-ribosylation factor-like protein 17-like
hsa:100294341	ADP-ribosylation factor-like protein 17-like
hsa:101929775	c-Jun-amino-terminal kinase-interacting protein 1-like
hsa:101929799	uncharacterized LOC101929799
hsa:100996747	40S ribosomal protein S26-like
hsa:100996750	keratin-associated protein 4-7-like
hsa:101060212	puromycin-sensitive aminopeptidase-like protein-like
hsa:102724997	leukocyte immunoglobulin-like receptor subfamily B member 3-like
hsa:101929807	uncharacterized LOC101929807
hsa:102724987	uncharacterized LOC102724987
hsa:102724991	serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta-like
hsa:102725018	V-set and immunoglobulin domain-containing protein 1-like
hsa:102725020	uncharacterized LOC102725020
hsa:102725009	putative beta-glucuronidase-like protein MGC87375-like
hsa:102725010	uncharacterized LOC102725010
hsa:102725011	putative beta-glucuronidase-like protein MGC87375-like
hsa:101929812	putative POM121-like protein 1-like
hsa:102725012	putative POM121-like protein 1-like
hsa:441081	POM121 membrane glycoprotein (rat) pseudogene
hsa:102725019	uncharacterized LOC102725019
hsa:101929789	taste receptor type 2 member 64-like
hsa:101927724	uncharacterized LOC101927724
hsa:102725021	uncharacterized LOC102725021
hsa:101929944	uncharacterized LOC101929944
hsa:102725022	uncharacterized LOC102725022
hsa:102725013	RNA-binding protein 6-like
hsa:102725008	leucine-rich repeat-containing protein 37A3-like
hsa:102725014	collagen alpha-3(IV) chain-like
hsa:102725015	leukocyte immunoglobulin-like receptor subfamily B member 3-like
hsa:102725017	uncharacterized LOC102725017
hsa:101929829	cytochrome P450, family 2, subfamily D, polypeptide 6 pseudogene
hsa:101929772	uncharacterized LOC101929772
hsa:102725026	uncharacterized LOC102725026
hsa:102725024	mucin-6-like
hsa:102725027	leukocyte immunoglobulin-like receptor subfamily B member 3-like
hsa:102725030	uncharacterized LOC102725030
hsa:102725029	leukocyte immunoglobulin-like receptor subfamily B member 3-like
hsa:102725031	leukocyte immunoglobulin-like receptor subfamily B member 3-like
hsa:102725034	leukocyte immunoglobulin-like receptor subfamily B member 3-like
hsa:100996707	putative uncharacterized protein C6orf214-like
hsa:102725035	leukocyte immunoglobulin-like receptor subfamily B member 3-like
hsa:102725036	uncharacterized LOC102725036
hsa:102725121	putative ATP-dependent RNA helicase DDX12-like
hsa:102725129	uncharacterized LOC102725129
hsa:102725088	general transcription factor II-I-like
hsa:101928811	uncharacterized LOC101928811
hsa:102725193	uncharacterized LOC102725193
hsa:101930052	hepatocyte growth factor-like protein-like
hsa:101930059	uncharacterized LOC101930059
hsa:101930067	uncharacterized LOC101930067
hsa:102725047	uncharacterized LOC102725047
hsa:102725054	uncharacterized LOC102725054
hsa:102725055	uncharacterized LOC102725055
hsa:101060363	peptidyl-prolyl cis-trans isomerase A-like
hsa:102725099	uncharacterized LOC102725099
hsa:102725124	uncharacterized LOC102725124
hsa:101930152	vegetative cell wall protein gp1-like
hsa:101930169	PRAME family member 23-like
hsa:101928486	basic proline-rich protein-like
hsa:101060085	uncharacterized LOC101060085
hsa:101060339	rootletin-like
hsa:101929892	uncharacterized LOC101929892
hsa:102725169	uncharacterized LOC102725169
hsa:101929929	uncharacterized LOC101929929
hsa:101929935	uncharacterized LOC101929935
hsa:102725243	uncharacterized LOC102725243
hsa:101930079	uncharacterized LOC101930079
hsa:128322	NUTF2P4; nuclear transport factor 2 pseudogene 4
hsa:102725151	uncharacterized LOC102725151
hsa:101929792	uncharacterized LOC101929792
hsa:100996721	UPF0627 protein ENSP00000358171-like
hsa:100996720	uncharacterized LOC100996720
hsa:101060442	calcium-binding mitochondrial carrier protein SCaMC-1-like
hsa:102725051	uncharacterized LOC102725051
hsa:100996427	uncharacterized LOC100996427
hsa:102725075	uncharacterized LOC102725075
hsa:102725076	uncharacterized LOC102725076
hsa:101929815	D(1B) dopamine receptor-like
hsa:100996763	neurogenic locus notch homolog protein 2-like
hsa:102725188	uncharacterized LOC102725188
hsa:101927909	uncharacterized LOC101927909
hsa:102725077	uncharacterized LOC102725077
hsa:102725140	uncharacterized LOC102725140
hsa:101930156	uncharacterized LOC101930156
hsa:102725217	uncharacterized LOC102725217
hsa:101929805	myomegalin-like
hsa:101929219	RP11-38J22.6; uncharacterized LOC101929219
hsa:102725062	transmembrane protein FLJ23183-like
hsa:101929902	uncharacterized LOC101929902
hsa:102725073	uncharacterized LOC102725073
hsa:101929861	uncharacterized LOC101929861
hsa:102725159	uncharacterized LOC102725159
hsa:102725172	uncharacterized LOC102725172
hsa:101060423	uncharacterized LOC101060423
hsa:101930107	uncharacterized LOC101930107
hsa:102725061	collagen alpha-1(XXVIII) chain-like
hsa:101930170	protein piccolo-like
hsa:102725210	adhesive plaque matrix protein-like
hsa:101930047	histone H1, gonadal-like
hsa:102725230	protein piccolo-like
hsa:102725233	protein piccolo-like
hsa:102725236	histone-lysine N-methyltransferase 2C-like
hsa:102725211	glycosylphosphatidylinositol anchor attachment 1 protein-like
hsa:101929908	uncharacterized LOC101929908
hsa:101929926	uncharacterized LOC101929926
hsa:101929886	dapper homolog 3-like
hsa:101929947	uncharacterized LOC101929947
hsa:101929958	uncharacterized LOC101929958
hsa:101929963	uncharacterized LOC101929963
hsa:102725251	uncharacterized LOC102725251
hsa:102725079	uncharacterized LOC102725079
hsa:102725082	uncharacterized LOC102725082
hsa:102725197	uncharacterized LOC102725197
hsa:102725199	uncharacterized LOC102725199
hsa:101930151	uncharacterized LOC101930151
hsa:102725086	uncharacterized LOC102725086
hsa:102725109	uncharacterized LOC102725109
hsa:102725113	uncharacterized LOC102725113
hsa:101929859	uncharacterized LOC101929859
hsa:102725245	uncharacterized LOC102725245
hsa:102725133	uncharacterized LOC102725133
hsa:102725093	uncharacterized LOC102725093
hsa:102725177	uncharacterized LOC102725177
hsa:102725183	uncharacterized LOC102725183
hsa:101930066	sulfated surface glycoprotein 185-like
hsa:646730	uncharacterized LOC646730
hsa:101930159	uncharacterized LOC101930159
hsa:101930174	uncharacterized LOC101930174
hsa:101930125	uncharacterized LOC101930125
hsa:102725200	uncharacterized LOC102725200
hsa:101930019	uncharacterized LOC101930019
hsa:102725123	uncharacterized LOC102725123
hsa:101929979	uncharacterized LOC101929979
hsa:102725192	uncharacterized LOC102725192
hsa:102725220	uncharacterized LOC102725220
hsa:100507306	uncharacterized LOC100507306
hsa:102725090	uncharacterized LOC102725090
hsa:101929911	uncharacterized LOC101929911
hsa:102725235	uncharacterized LOC102725235
hsa:101930020	uncharacterized LOC101930020
hsa:102725242	uncharacterized LOC102725242
hsa:102725244	uncharacterized LOC102725244
hsa:101930028	uncharacterized LOC101930028
hsa:101930031	uncharacterized LOC101930031
hsa:101930035	uncharacterized LOC101930035
hsa:101929883	uncharacterized LOC101929883
hsa:101929893	uncharacterized LOC101929893
hsa:101929898	uncharacterized LOC101929898
hsa:102725105	uncharacterized LOC102725105
hsa:100506217	putative POM121-like protein 1-like
hsa:102725100	uncharacterized LOC102725100
hsa:102725134	uncharacterized LOC102725134
hsa:102725145	uncharacterized LOC102725145
hsa:102725182	putative POM121-like protein 1-like
hsa:101930032	uncharacterized LOC101930032
hsa:101930049	uncharacterized LOC101930049
hsa:102725150	uncharacterized LOC102725150
hsa:102725213	uncharacterized LOC102725213
hsa:102725231	uncharacterized LOC102725231
hsa:101928670	uncharacterized LOC101928670
hsa:101930081	uncharacterized LOC101930081
hsa:101930126	uncharacterized LOC101930126
hsa:102725041	uncharacterized LOC102725041
hsa:101929855	uncharacterized LOC101929855
hsa:102725052	uncharacterized LOC102725052
hsa:102725068	uncharacterized LOC102725068
hsa:102725074	uncharacterized LOC102725074
hsa:102725153	uncharacterized LOC102725153
hsa:102725160	uncharacterized LOC102725160
hsa:102725224	uncharacterized LOC102725224
hsa:102725237	uncharacterized LOC102725237
hsa:102725048	uncharacterized LOC102725048
hsa:101929844	uncharacterized LOC101929844
hsa:102725164	uncharacterized LOC102725164
hsa:102725191	uncharacterized LOC102725191
hsa:646588	uncharacterized LOC646588
hsa:101929113	WAS/WASL-interacting protein family member 3-like
hsa:101930085	uncharacterized LOC101930085
hsa:101929994	putative uncharacterized protein FLJ44672-like
hsa:102725071	uncharacterized LOC102725071
hsa:102725094	uncharacterized LOC102725094
hsa:101930106	uncharacterized LOC101930106
hsa:101930086	uncharacterized LOC101930086
hsa:102725128	speedy protein E2-like
hsa:101930136	uncharacterized LOC101930136
hsa:101059921	uncharacterized LOC101059921
hsa:102725158	uncharacterized LOC102725158
hsa:102725167	uncharacterized LOC102725167
hsa:102725196	uncharacterized LOC102725196
hsa:102725198	ras GTPase-activating protein 4-like
hsa:102725212	uncharacterized LOC102725212
hsa:340340	uncharacterized LOC340340
hsa:101930056	uncharacterized LOC101930056
hsa:101929980	podocalyxin-like
hsa:402269	equilibrative nucleoside transporter 4-like
hsa:101060476	putative uncharacterized protein FLJ44672-like
hsa:101930009	putative uncharacterized protein FLJ46348-like
hsa:102725120	mucin-3B-like
hsa:101929934	uncharacterized LOC101929934
hsa:102725064	uncharacterized LOC102725064
hsa:101060696	cTAGE family member 4-like
hsa:102725084	olfactory receptor 2A7-like; K04257 olfactory receptor
hsa:101060689	protein FAM115C-like
hsa:102725117	rho guanine nucleotide exchange factor 5-like
hsa:102725056	uncharacterized LOC102725056
hsa:102725049	uncharacterized LOC102725049
hsa:101929913	uncharacterized LOC101929913
hsa:102725108	uncharacterized LOC102725108
hsa:101929927	putative protein FAM90A16P/FAM90A17P-like
hsa:101930149	uncharacterized LOC101930149
hsa:102725080	uncharacterized LOC102725080
hsa:101929881	uncharacterized LOC101929881
hsa:649305	uncharacterized LOC649305
hsa:101929903	olfactory receptor 7E24-like
hsa:101929920	uncharacterized LOC101929920
hsa:100506365	OTUD6B-AS1, GS1-251I9.4; OTUD6B antisense RNA 1 (head to head)
hsa:101930000	uncharacterized LOC101930000
hsa:102725223	uncharacterized LOC102725223
hsa:101930072	putative chemokine-related protein FP248-like
hsa:101930111	putative exonuclease GOR-like protein-like; K14570 RNA exonuclease 1 [EC:3.1.-.-]
hsa:102725156	uncharacterized LOC102725156
hsa:102725181	uncharacterized LOC102725181
hsa:101060445	uncharacterized LOC101060445
hsa:102725253	uncharacterized LOC102725253
hsa:644316	FLJ43315; asparagine synthetase pseudogene
hsa:102725070	coiled-coil domain-containing protein 29-like
hsa:101059935	coiled-coil domain-containing protein 29-like
hsa:102725146	contactin-associated protein-like 3B-like
hsa:101930004	uncharacterized LOC101930004
hsa:102725186	uncharacterized LOC102725186
hsa:101930044	uncharacterized LOC101930044
hsa:102725202	uncharacterized LOC102725202
hsa:102725203	uncharacterized LOC102725203
hsa:101930070	uncharacterized LOC101930070
hsa:441402	contactin associated protein-like 3 pseudogene, transcript variant X1
hsa:101928413	uncharacterized LOC101928413
hsa:101930147	uncharacterized LOC101930147
hsa:102725053	unconventional myosin-Vb-like
hsa:101930168	putative aquaporin-7-like protein 3-like
hsa:102725104	coiled-coil domain-containing protein 29-like
hsa:102725126	uncharacterized LOC102725126
hsa:102725139	uncharacterized LOC102725139
hsa:102725141	uncharacterized LOC102725141
hsa:101929959	ribosome biogenesis protein BMS1 homolog
hsa:101060578	putative COBW domain-containing protein 7-like
hsa:102725089	uncharacterized LOC102725089
hsa:102725185	uncharacterized LOC102725185
hsa:101928954	uncharacterized LOC101928954
hsa:102725143	uncharacterized LOC102725143
hsa:101928758	actin cytoskeleton-regulatory complex protein PAN1-like
hsa:101930119	uncharacterized LOC101930119
hsa:102725110	uncharacterized LOC102725110
hsa:102725112	uncharacterized LOC102725112
hsa:101929951	uncharacterized LOC101929951
hsa:102725162	uncharacterized LOC102725162
hsa:102725190	uncharacterized LOC102725190
hsa:102725179	tyrosine-protein phosphatase non-receptor type 20-like
hsa:102725194	uncharacterized LOC102725194
hsa:102725207	annexin A8-like
hsa:101930006	FERM and PDZ domain-containing protein 2-like
hsa:101930027	FERM and PDZ domain-containing protein 2-like
hsa:102725239	uncharacterized LOC102725239
hsa:101060581	arf-GAP with GTPase, ANK repeat and PH domain-containing protein 4-like
hsa:102725107	uncharacterized LOC102725107
hsa:101929917	uncharacterized LOC101929917
hsa:102725161	uncharacterized LOC102725161
hsa:102725174	uncharacterized LOC102725174
hsa:102725232	uncharacterized LOC102725232
hsa:101060609	uncharacterized LOC101060609
hsa:102725247	uncharacterized LOC102725247
hsa:102725043	uncharacterized LOC102725043
hsa:101930127	uncharacterized LOC101930127
hsa:101927270	uncharacterized LOC101927270
